source,target
"rimouski | climate , economy , municipal council , history",What do you want to know about the place?
"ohe | office of higher education , office of health economics , organization of healthcare educators","Which ""ohe"" do you mean?"
"ballet folklorico de mexico | ballet folklorico de mexico cd , ballet folklorico de mexico dvd",What format are you looking for?
"ubac | ubuntu business advisory and consulting , user based access control , unlawful bodily alcohol content","Which ""ubac"" do you mean?"
"book of ezra | book of ezra summary , who wrote book of ezra , book of ezra themes",What would you like to know about this book?
"parca | performance assessments and root cause analyses , program for arctic regional climate assessment , planning and advanced reservation of capacity agreement","Which ""parca"" do you mean?"
"hfis | health facilities information system , hyper fidelity intensified sensor","Which ""hfis"" do you mean?"
"limerick pa | limerick pa zip code , limerick pa news , limerick pa population , homes for sale limerick pa",What would you like to know about this city?
"divorce in the bible | kjv , niv",Which Bible translation are you looking for?
"edge auto sales | shops photo , local map , services , business information",What do you want to know about this business?
"what does shrm stand for | society for human resource management , senior human resources manager , super heat recovery multi","Which ""shrm"" do you mean?"
"numbers 13:33 | esv , kjv , niv",What Bible translation are you looking for?
"psychogenic seizure | medication , symptoms",What do you want to know about this condition?
"ersd | enrollment reporting system degrees , economic research and statistics division","Which ""ersd"" do you mean?"
"api key | find api key , generate api key",What do you want to do with api key?
"kamen rider gaim | cast , cast , characters , theme song , theme song",What would you like to know about this tv show?
"eow | end of week , extreme online wrestling , every other week","Which ""eow"" do you mean?"
"yamaha raptor 700r for sale | craigslist , ebay",What marketplace are you looking for?
"dhia | dairy herd improvement association , door hardware industry associate , dental health improvement act","Which ""dhia"" do you mean?"
"nlss | northernlion live super show , next level security systems , northern lights ss","Which ""nlss"" do you mean?"
"ferrum college | ferrum college tuition , ferrum college bookstore , ferrum college jobs",What would you like to know about this university?
"scleroderma treatment | musculoskeletal symptoms , pulmonary hypertension , scleroderma treatment diet , approach considerations , scleroderma renal crisis",What do you want to know about the treatment of scleroderma?
"brother john | chords , lyrics",What song information are you looking for?
"how to put a border on word | word 2013 , word 2010 , word 2016",What version of Word are you looking for?
"fyd | follow your dreams , foundation for youth development , friends for young deaf","Which ""fyd"" do you mean?"
"windows installer 3.1 | windows 10 , windows 8 , windows 7",What version of Windows are you looking for?
"site layout | construction , design",What service are you looking for?
"flint township | flint township zip code , flint township population , homes for sale flint township",What would you like to know about flint township?
"egls | echo guided life support , emerging global leader scholarship","Which ""egls"" do you mean?"
"nwis | national water information system , northwest inventory solutions","Which ""nwis"" do you mean?"
"white images | mammogram , mri",What test are you looking for?
"las vegas sands | las vegas sands stock , las vegas sands news , las vegas sands careers",What would you like to know about las vegas sands?
"toyota camry headlight | bulb , cover , switch",What device are you looking for?
"st mary's college california | football , volleyball",What sport are you looking for?
"microsoft explorer download | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"scgc | sugar cane growers cooperative , spring creek golf club","Which ""scgc"" do you mean?"
"iron condor | trade iron condor , adjust iron condor",What do you want to do with iron condor?
"congressman | write a congressman , address a congressman",What do you want to do with a congressman?
"oakville, ontario | arts and culture , climate , commerce , economy",What do you want to know about the place?
"california baptist university | california baptist university tuition , california baptist university jobs , california baptist university bookstore",What would you like to know about california baptist university?
"john 4:8 | esv , kjv , niv",What Bible translation are you looking for?
"cfr | Code of Federal Regulations , council on foreign relations , certified first responder","Which ""cfr"" do you mean?"
"rothy | 's shoes , 's flats",Do you have any specific product in mind?
"airport auto auction | shops photo , local map , services , business information",What do you want to know about this business?
"shoc | sports helmets optical conversions , students helping our community","Which ""shoc"" do you mean?"
"schwan food company | phone number , schwan food company careers , headquarters",What would you like to know about schwan food company?
"how to clean ac condenser | drain , unit",What area are you looking for?
"cahr | center for the advancement of human rights , community action on harm reduction","Which ""cahr"" do you mean?"
"low fibrinogen | causes , treatment",What do you want to know about this condition?
"letisko bratislava | letisko bratislava code , letisko bratislava arrivals , letisko bratislava parking",What would you like to know about this airport?
"psalm 13:5 | esv , kjv , nlt",What Bible translation are you looking for?
"ahaa | association of hispanic advertising agencies , auto haulers association of america","Which ""ahaa"" do you mean?"
"toothbrush covers | rubber , silicone",What material are you looking for?
"fantasia disney | dvd , vhs",What format are you looking for?
"first-degree atrioventricular block | medication , overview , presentation , treatment",What do you want to know about this condition?
"darkwing duck | darkwing duck episodes , darkwing duck theme song , cast , darkwing duck dvd",What would you like to know about darkwing duck?
"southampton pediatrics | specialty , pediatrics , pediatric nursing nurse practitioner , provider",What do you want to know about southampton pediatrics?
"blue's clues 100th episode celebration | dvd , vhs",What format are you looking for?
"freiberg disease | differential diagnosis , overview , presentation , treatment , workup",What do you want to know about this condition?
"gas logs | install gas logs , clean gas logs , arrange gas logs",What do you want to do with gas logs?
"pace financing | benefits , securitization , history",What do you want to know about pace financing?
"cpsr | contractor purchasing system review , computer professionals for social responsibility , cosmetic product safety report","Which ""cpsr"" do you mean?"
"cuf | center for an urban future , civic united front , cameroon united forests","Which ""cuf"" do you mean?"
"casa nissan | shops photo , local map , business information",What do you want to know about this business?
"pitzhanger manor | 21st-century restoration plans , ealing district council , ealing war memorial , film",What do you want to know about the architecture?
"nextpoint | intellectual property , services , thought leadership",What do you want to know about the company?
"p0305 | chevy , jeep",What car are you looking for?
"microsoft word outlook | outlook 2007 , outlook 2010",What version of Outlook are you looking for?
"tkes | the teacher keys effectiveness system , thyssenkrupp electrical steel , thyssenkrupp employee source","Which ""tkes"" do you mean?"
"vlrc | victorian law reform commission , virtual learning resources center , vaio link response center","Which ""vlrc"" do you mean?"
"hiqa | health information and quality authority , health insurance query access","Which ""hiqa"" do you mean?"
"autoimmune lymphoproliferative syndrome | living with , symptoms , presentation , treatment",What do you want to know about this condition?
"lodis | lodis wallets , lodis handbags , lodis bags",Do you have any specific product in mind?
"irra | individual retirement rollover account , institutional repositories and research assessment , institute for reliability and risk analysis","Which ""irra"" do you mean?"
"florida state university | Florida State University Tuition , florida state university bookstore , florida state university jobs",What would you like to know about florida state university?
"ncod | national center for organization development , national contaminant occurrence database","Which ""ncod"" do you mean?"
"uhcu | united heritage credit union , ubiquitously holding checks unreasonably","Which ""uhcu"" do you mean?"
"what is i e | engineer , technician",What kind of job are you looking for?
"woodshop projects | woodshop projects high school , middle school",What school are you looking for?
"ncbh | national council for behavioral health , new creation behavioral healthcare","Which ""ncbh"" do you mean?"
"blood glucose | check blood glucose , bring down blood glucose",What do you want to do with blood glucose?
"google chrome for windows | windows 10 , windows 8 , windows 7 , google chrome for windows vista , windows xp",What version of Windows are you looking for?
"unaa | ultimate ninja athlete association , united nations association of australia","Which ""unaa"" do you mean?"
